Sep=;
#X1;-32000
#Z1;-32000
#X2;32000
#Z2;32000
seed;structure;x;z;details
609567216262790763;desert_pyramid;-31600;20080;
609567216262790763;desert_pyramid;-31616;25728;
609567216262790763;desert_pyramid;-31200;20832;
609567216262790763;desert_pyramid;-30896;21632;
609567216262790763;desert_pyramid;-31088;22544;
609567216262790763;desert_pyramid;-30992;25280;
609567216262790763;desert_pyramid;-31136;25840;
609567216262790763;desert_pyramid;-30368;-29552;
609567216262790763;desert_pyramid;-30608;19472;
609567216262790763;desert_pyramid;-30592;21216;
609567216262790763;desert_pyramid;-30496;21744;
609567216262790763;desert_pyramid;-30400;24416;
609567216262790763;desert_pyramid;-30384;24576;
609567216262790763;desert_pyramid;-30608;30944;
609567216262790763;desert_pyramid;-30016;-30144;
609567216262790763;desert_pyramid;-30208;-29408;
609567216262790763;desert_pyramid;-29872;-26528;
609567216262790763;desert_pyramid;-30208;11952;
609567216262790763;desert_pyramid;-30080;12624;
609567216262790763;desert_pyramid;-30176;13312;
609567216262790763;desert_pyramid;-30016;20624;
609567216262790763;desert_pyramid;-30016;23248;
609567216262790763;desert_pyramid;-29920;23712;
609567216262790763;desert_pyramid;-29584;-29408;
609567216262790763;desert_pyramid;-29424;-27632;
609567216262790763;desert_pyramid;-29536;-26304;
609567216262790763;desert_pyramid;-29440;23760;
609567216262790763;desert_pyramid;-29584;24080;
609567216262790763;desert_pyramid;-28976;-26448;
609567216262790763;desert_pyramid;-29136;-25872;
609567216262790763;desert_pyramid;-28976;-25472;
609567216262790763;desert_pyramid;-29040;-9216;
609567216262790763;desert_pyramid;-29088;10928;
609567216262790763;desert_pyramid;-28464;-26912;
609567216262790763;desert_pyramid;-28592;-26432;
609567216262790763;desert_pyramid;-28416;-24960;
609567216262790763;desert_pyramid;-28448;-9040;
609567216262790763;desert_pyramid;-28352;11088;
609567216262790763;desert_pyramid;-28672;30512;
609567216262790763;desert_pyramid;-28032;10304;
609567216262790763;desert_pyramid;-28000;13648;
609567216262790763;desert_pyramid;-27904;20528;
609567216262790763;desert_pyramid;-28016;30896;
609567216262790763;desert_pyramid;-27504;-31376;
609567216262790763;desert_pyramid;-27440;-8976;
609567216262790763;desert_pyramid;-27504;2720;
609567216262790763;desert_pyramid;-27504;3184;
609567216262790763;desert_pyramid;-27552;10752;
609567216262790763;desert_pyramid;-27312;12944;
609567216262790763;desert_pyramid;-27296;13424;
609567216262790763;desert_pyramid;-27296;24736;
609567216262790763;desert_pyramid;-27632;25328;
609567216262790763;desert_pyramid;-27136;-26896;
609567216262790763;desert_pyramid;-26896;-26096;
609567216262790763;desert_pyramid;-26928;-24976;
609567216262790763;desert_pyramid;-26880;-15552;
609567216262790763;desert_pyramid;-26864;-15264;
609567216262790763;desert_pyramid;-26864;-9136;
609567216262790763;desert_pyramid;-27136;2880;
609567216262790763;desert_pyramid;-27056;10752;
609567216262790763;desert_pyramid;-27136;12496;
609567216262790763;desert_pyramid;-26944;14112;
609567216262790763;desert_pyramid;-26960;14384;
609567216262790763;desert_pyramid;-27072;20048;
609567216262790763;desert_pyramid;-26912;20512;
609567216262790763;desert_pyramid;-27120;25360;
609567216262790763;desert_pyramid;-27136;26656;
609567216262790763;desert_pyramid;-26304;-25264;
609567216262790763;desert_pyramid;-26608;-192;
609567216262790763;desert_pyramid;-26464;11456;
609567216262790763;desert_pyramid;-26624;15680;
609567216262790763;desert_pyramid;-26368;17040;
609567216262790763;desert_pyramid;-26288;19056;
609567216262790763;desert_pyramid;-26464;20592;
609567216262790763;desert_pyramid;-26320;27376;
609567216262790763;desert_pyramid;-26400;29360;
609567216262790763;desert_pyramid;-26608;29696;
609567216262790763;desert_pyramid;-26304;31232;
609567216262790763;desert_pyramid;-25904;-26256;
609567216262790763;desert_pyramid;-25920;10448;
609567216262790763;desert_pyramid;-25888;13488;
609567216262790763;desert_pyramid;-25808;19984;
609567216262790763;desert_pyramid;-25744;21360;
609567216262790763;desert_pyramid;-25936;22304;
609567216262790763;desert_pyramid;-25744;24400;
609567216262790763;desert_pyramid;-25952;24608;
609567216262790763;desert_pyramid;-25888;26480;
609567216262790763;desert_pyramid;-25968;29968;
609567216262790763;desert_pyramid;-25424;-26896;
609567216262790763;desert_pyramid;-25280;-26512;
609567216262790763;desert_pyramid;-25232;-15856;
609567216262790763;desert_pyramid;-25536;-14480;
609567216262790763;desert_pyramid;-25600;1792;
609567216262790763;desert_pyramid;-25424;2144;
609567216262790763;desert_pyramid;-25344;2560;
609567216262790763;desert_pyramid;-25424;3168;
609567216262790763;desert_pyramid;-25328;10080;
609567216262790763;desert_pyramid;-25440;10352;
609567216262790763;desert_pyramid;-25408;18992;
609567216262790763;desert_pyramid;-25552;21584;
609567216262790763;desert_pyramid;-25376;22688;
609567216262790763;desert_pyramid;-25600;23760;
609567216262790763;desert_pyramid;-24816;-15184;
609567216262790763;desert_pyramid;-24752;-11024;
609567216262790763;desert_pyramid;-24944;-8576;
609567216262790763;desert_pyramid;-24896;-7840;
609567216262790763;desert_pyramid;-25072;28496;
609567216262790763;desert_pyramid;-24320;-15744;
609567216262790763;desert_pyramid;-24400;-10912;
609567216262790763;desert_pyramid;-24368;-10528;
609567216262790763;desert_pyramid;-24384;-9904;
609567216262790763;desert_pyramid;-24448;3072;
609567216262790763;desert_pyramid;-24208;26272;
609567216262790763;desert_pyramid;-24464;26752;
609567216262790763;desert_pyramid;-23760;-15264;
609567216262790763;desert_pyramid;-24048;-14656;
609567216262790763;desert_pyramid;-23952;-7408;
609567216262790763;desert_pyramid;-23968;2832;
609567216262790763;desert_pyramid;-23984;26304;
609567216262790763;desert_pyramid;-23808;26720;
609567216262790763;desert_pyramid;-23872;27728;
609567216262790763;desert_pyramid;-23824;28208;
609567216262790763;desert_pyramid;-23360;-14592;
609567216262790763;desert_pyramid;-23392;3376;
609567216262790763;desert_pyramid;-23488;7184;
609567216262790763;desert_pyramid;-22704;-22672;
609567216262790763;desert_pyramid;-22272;4384;
609567216262790763;desert_pyramid;-22176;12928;
609567216262790763;desert_pyramid;-21664;-20816;
609567216262790763;desert_pyramid;-21760;-8432;
609567216262790763;desert_pyramid;-21712;-8080;
609567216262790763;desert_pyramid;-21952;-240;
609567216262790763;desert_pyramid;-21968;11808;
609567216262790763;desert_pyramid;-21952;12816;
609567216262790763;desert_pyramid;-21424;-22320;
609567216262790763;desert_pyramid;-21488;-20992;
609567216262790763;desert_pyramid;-21440;-20272;
609567216262790763;desert_pyramid;-21232;-9920;
609567216262790763;desert_pyramid;-21504;-9200;
609567216262790763;desert_pyramid;-21360;1344;
609567216262790763;desert_pyramid;-21184;1696;
609567216262790763;desert_pyramid;-21472;13520;
609567216262790763;desert_pyramid;-20864;-22736;
609567216262790763;desert_pyramid;-20784;-20624;
609567216262790763;desert_pyramid;-20832;-20160;
609567216262790763;desert_pyramid;-20704;-10592;
609567216262790763;desert_pyramid;-20848;-7568;
609567216262790763;desert_pyramid;-20704;13936;
609567216262790763;desert_pyramid;-20720;27936;
609567216262790763;desert_pyramid;-20752;29008;
609567216262790763;desert_pyramid;-20656;29488;
609567216262790763;desert_pyramid;-20352;-20800;
609567216262790763;desert_pyramid;-20432;-9376;
609567216262790763;desert_pyramid;-20448;-9152;
609567216262790763;desert_pyramid;-20352;9920;
609567216262790763;desert_pyramid;-20400;10608;
609567216262790763;desert_pyramid;-20288;11008;
609567216262790763;desert_pyramid;-20320;11280;
609567216262790763;desert_pyramid;-20208;14384;
609567216262790763;desert_pyramid;-20288;27888;
609567216262790763;desert_pyramid;-20400;28288;
609567216262790763;desert_pyramid;-20400;28896;
609567216262790763;desert_pyramid;-20416;29728;
609567216262790763;desert_pyramid;-20128;30336;
609567216262790763;desert_pyramid;-19920;10016;
609567216262790763;desert_pyramid;-19968;10432;
609567216262790763;desert_pyramid;-19824;27872;
609567216262790763;desert_pyramid;-19760;30752;
609567216262790763;desert_pyramid;-19776;31312;
609567216262790763;desert_pyramid;-18752;9952;
609567216262790763;desert_pyramid;-18896;12608;
609567216262790763;desert_pyramid;-18704;14096;
609567216262790763;desert_pyramid;-18192;2192;
609567216262790763;desert_pyramid;-18272;2560;
609567216262790763;desert_pyramid;-18080;8816;
609567216262790763;desert_pyramid;-18256;12656;
609567216262790763;desert_pyramid;-18160;13664;
609567216262790763;desert_pyramid;-18272;13952;
609567216262790763;desert_pyramid;-17600;-31232;
609567216262790763;desert_pyramid;-17856;-30368;
609567216262790763;desert_pyramid;-17568;-27584;
609567216262790763;desert_pyramid;-17792;-18608;
609567216262790763;desert_pyramid;-17760;-9520;
609567216262790763;desert_pyramid;-17728;-9152;
609567216262790763;desert_pyramid;-17744;-2480;
609567216262790763;desert_pyramid;-17680;-1424;
609567216262790763;desert_pyramid;-17664;2800;
609567216262790763;desert_pyramid;-17568;3392;
609567216262790763;desert_pyramid;-17712;10400;
609567216262790763;desert_pyramid;-17600;11488;
609567216262790763;desert_pyramid;-17584;11872;
609567216262790763;desert_pyramid;-17872;12304;
609567216262790763;desert_pyramid;-17392;-31488;
609567216262790763;desert_pyramid;-17184;-30480;
609567216262790763;desert_pyramid;-17328;-27456;
609567216262790763;desert_pyramid;-17232;-18784;
609567216262790763;desert_pyramid;-17392;-18160;
609567216262790763;desert_pyramid;-17344;-2560;
609567216262790763;desert_pyramid;-17040;-1888;
609567216262790763;desert_pyramid;-17296;-336;
609567216262790763;desert_pyramid;-16608;-17328;
609567216262790763;desert_pyramid;-16800;-8912;
609567216262790763;desert_pyramid;-16640;-8528;
609567216262790763;desert_pyramid;-16800;-2992;
609567216262790763;desert_pyramid;-16816;-1520;
609567216262790763;desert_pyramid;-16736;-272;
609567216262790763;desert_pyramid;-16544;29552;
609567216262790763;desert_pyramid;-16016;-8368;
609567216262790763;desert_pyramid;-16192;-7088;
609567216262790763;desert_pyramid;-16320;-6416;
609567216262790763;desert_pyramid;-16160;-5312;
609567216262790763;desert_pyramid;-16288;-2448;
609567216262790763;desert_pyramid;-16144;-1712;
609567216262790763;desert_pyramid;-16368;29232;
609567216262790763;desert_pyramid;-16096;29904;
609567216262790763;desert_pyramid;-15696;-27296;
609567216262790763;desert_pyramid;-15632;-7536;
609567216262790763;desert_pyramid;-15664;-5024;
609567216262790763;desert_pyramid;-15552;-1728;
609567216262790763;desert_pyramid;-15648;2624;
609567216262790763;desert_pyramid;-15856;29280;
609567216262790763;desert_pyramid;-15152;-16384;
609567216262790763;desert_pyramid;-15120;-7168;
609567216262790763;desert_pyramid;-15264;-5424;
609567216262790763;desert_pyramid;-15216;2304;
609567216262790763;desert_pyramid;-15216;3424;
609567216262790763;desert_pyramid;-15168;3696;
609567216262790763;desert_pyramid;-14848;-16272;
609567216262790763;desert_pyramid;-14688;1664;
609567216262790763;desert_pyramid;-14512;2688;
609567216262790763;desert_pyramid;-14752;11616;
609567216262790763;desert_pyramid;-14736;24080;
609567216262790763;desert_pyramid;-14720;25216;
609567216262790763;desert_pyramid;-14096;1104;
609567216262790763;desert_pyramid;-14256;23808;
609567216262790763;desert_pyramid;-14320;24416;
609567216262790763;desert_pyramid;-13696;-23968;
609567216262790763;desert_pyramid;-13808;-23312;
609567216262790763;desert_pyramid;-13776;-2368;
609567216262790763;desert_pyramid;-13744;832;
609567216262790763;desert_pyramid;-13824;1536;
609567216262790763;desert_pyramid;-13776;6352;
609567216262790763;desert_pyramid;-13472;24144;
609567216262790763;desert_pyramid;-13664;25136;
609567216262790763;desert_pyramid;-12944;24688;
609567216262790763;desert_pyramid;-12704;-23344;
609567216262790763;desert_pyramid;-12688;24416;
609567216262790763;desert_pyramid;-12480;24912;
609567216262790763;desert_pyramid;-12800;25360;
609567216262790763;desert_pyramid;-12608;31760;
609567216262790763;desert_pyramid;-12000;24144;
609567216262790763;desert_pyramid;-11632;-16880;
609567216262790763;desert_pyramid;-11440;-16272;
609567216262790763;desert_pyramid;-11728;31824;
609567216262790763;desert_pyramid;-11200;-16384;
609567216262790763;desert_pyramid;-11024;-15520;
609567216262790763;desert_pyramid;-11232;24720;
609567216262790763;desert_pyramid;-11248;31904;
609567216262790763;desert_pyramid;-10704;-23312;
609567216262790763;desert_pyramid;-10640;-22464;
609567216262790763;desert_pyramid;-10448;-10576;
609567216262790763;desert_pyramid;-10512;-10144;
609567216262790763;desert_pyramid;-9888;-22672;
609567216262790763;desert_pyramid;-9904;-22512;
609567216262790763;desert_pyramid;-10192;-10064;
609567216262790763;desert_pyramid;-9920;8352;
609567216262790763;desert_pyramid;-9888;25600;
609567216262790763;desert_pyramid;-9440;-11488;
609567216262790763;desert_pyramid;-9360;-11248;
609567216262790763;desert_pyramid;-9392;11616;
609567216262790763;desert_pyramid;-9728;11984;
609567216262790763;desert_pyramid;-9360;12432;
609567216262790763;desert_pyramid;-9104;-11088;
609567216262790763;desert_pyramid;-9024;-10624;
609567216262790763;desert_pyramid;-9216;-10032;
609567216262790763;desert_pyramid;-8704;-12096;
609567216262790763;desert_pyramid;-8560;-11552;
609567216262790763;desert_pyramid;-8544;-11136;
609567216262790763;desert_pyramid;-8336;25296;
609567216262790763;desert_pyramid;-8672;26672;
609567216262790763;desert_pyramid;-7872;24848;
609567216262790763;desert_pyramid;-7648;-10944;
609567216262790763;desert_pyramid;-7600;-9536;
609567216262790763;desert_pyramid;-7648;-8912;
609567216262790763;desert_pyramid;-7392;24400;
609567216262790763;desert_pyramid;-7408;25216;
609567216262790763;desert_pyramid;-7552;25680;
