Sep=;
#X1;-32000
#Z1;-32000
#X2;32000
#Z2;32000
seed;structure;x;z;details
2791111690993685248;desert_pyramid;-31968;-30896;
2791111690993685248;desert_pyramid;-31936;-30048;
2791111690993685248;desert_pyramid;-31968;-6480;
2791111690993685248;desert_pyramid;-31440;-31744;
2791111690993685248;desert_pyramid;-31440;-16736;
2791111690993685248;desert_pyramid;-31664;-6912;
2791111690993685248;desert_pyramid;-31456;25088;
2791111690993685248;desert_pyramid;-31376;25712;
2791111690993685248;desert_pyramid;-31152;-31520;
2791111690993685248;desert_pyramid;-31040;-24000;
2791111690993685248;desert_pyramid;-30864;-6848;
2791111690993685248;desert_pyramid;-30896;3136;
2791111690993685248;desert_pyramid;-30352;-22752;
2791111690993685248;desert_pyramid;-30432;-6896;
2791111690993685248;desert_pyramid;-30704;-4304;
2791111690993685248;desert_pyramid;-30704;-3792;
2791111690993685248;desert_pyramid;-30368;20640;
2791111690993685248;desert_pyramid;-30048;3632;
2791111690993685248;desert_pyramid;-29952;5968;
2791111690993685248;desert_pyramid;-30032;6352;
2791111690993685248;desert_pyramid;-29568;3792;
2791111690993685248;desert_pyramid;-29536;6368;
2791111690993685248;desert_pyramid;-29344;31920;
2791111690993685248;desert_pyramid;-28976;-31536;
2791111690993685248;desert_pyramid;-28848;-26384;
2791111690993685248;desert_pyramid;-29152;-2704;
2791111690993685248;desert_pyramid;-28944;5904;
2791111690993685248;desert_pyramid;-28816;25792;
2791111690993685248;desert_pyramid;-28816;27376;
2791111690993685248;desert_pyramid;-29072;31584;
2791111690993685248;desert_pyramid;-28464;-31936;
2791111690993685248;desert_pyramid;-28672;-31456;
2791111690993685248;desert_pyramid;-28336;-26624;
2791111690993685248;desert_pyramid;-28304;-25840;
2791111690993685248;desert_pyramid;-28576;-19632;
2791111690993685248;desert_pyramid;-28352;-19216;
2791111690993685248;desert_pyramid;-28672;-4480;
2791111690993685248;desert_pyramid;-28432;4720;
2791111690993685248;desert_pyramid;-28352;5456;
2791111690993685248;desert_pyramid;-28144;-25792;
2791111690993685248;desert_pyramid;-27888;-25504;
2791111690993685248;desert_pyramid;-27808;4704;
2791111690993685248;desert_pyramid;-27872;5296;
2791111690993685248;desert_pyramid;-27904;31440;
2791111690993685248;desert_pyramid;-27568;-27376;
2791111690993685248;desert_pyramid;-27488;-24880;
2791111690993685248;desert_pyramid;-27312;-23872;
2791111690993685248;desert_pyramid;-27536;-19168;
2791111690993685248;desert_pyramid;-27376;-18096;
2791111690993685248;desert_pyramid;-27584;-17744;
2791111690993685248;desert_pyramid;-27504;4896;
2791111690993685248;desert_pyramid;-27600;5264;
2791111690993685248;desert_pyramid;-26832;-24720;
2791111690993685248;desert_pyramid;-27072;-23872;
2791111690993685248;desert_pyramid;-27104;4448;
2791111690993685248;desert_pyramid;-26576;-24832;
2791111690993685248;desert_pyramid;-26544;-24304;
2791111690993685248;desert_pyramid;-26080;-31952;
2791111690993685248;desert_pyramid;-25760;10480;
2791111690993685248;desert_pyramid;-25360;-31392;
2791111690993685248;desert_pyramid;-25488;10384;
2791111690993685248;desert_pyramid;-25040;-31968;
2791111690993685248;desert_pyramid;-24816;-20176;
2791111690993685248;desert_pyramid;-24464;-19824;
2791111690993685248;desert_pyramid;-24384;24416;
2791111690993685248;desert_pyramid;-24464;24576;
2791111690993685248;desert_pyramid;-23872;-31504;
2791111690993685248;desert_pyramid;-23808;-19664;
2791111690993685248;desert_pyramid;-24000;-19200;
2791111690993685248;desert_pyramid;-23696;-18192;
2791111690993685248;desert_pyramid;-23776;4816;
2791111690993685248;desert_pyramid;-23968;5712;
2791111690993685248;desert_pyramid;-23760;8560;
2791111690993685248;desert_pyramid;-23968;15456;
2791111690993685248;desert_pyramid;-23856;15984;
2791111690993685248;desert_pyramid;-23712;24832;
2791111690993685248;desert_pyramid;-23440;-19648;
2791111690993685248;desert_pyramid;-23376;-19376;
2791111690993685248;desert_pyramid;-23408;-17824;
2791111690993685248;desert_pyramid;-23328;-16752;
2791111690993685248;desert_pyramid;-23264;4704;
2791111690993685248;desert_pyramid;-23424;5440;
2791111690993685248;desert_pyramid;-23280;5648;
2791111690993685248;desert_pyramid;-23184;6512;
2791111690993685248;desert_pyramid;-23520;16080;
2791111690993685248;desert_pyramid;-23376;19584;
2791111690993685248;desert_pyramid;-23024;-22832;
2791111690993685248;desert_pyramid;-22944;6896;
2791111690993685248;desert_pyramid;-22896;8032;
2791111690993685248;desert_pyramid;-23008;8240;
2791111690993685248;desert_pyramid;-22800;15088;
2791111690993685248;desert_pyramid;-22928;16448;
2791111690993685248;desert_pyramid;-23008;16912;
2791111690993685248;desert_pyramid;-22960;23632;
2791111690993685248;desert_pyramid;-22176;-31376;
2791111690993685248;desert_pyramid;-22320;-21184;
2791111690993685248;desert_pyramid;-22432;13152;
2791111690993685248;desert_pyramid;-22192;13648;
2791111690993685248;desert_pyramid;-22160;15984;
2791111690993685248;desert_pyramid;-22320;16464;
2791111690993685248;desert_pyramid;-22288;23072;
2791111690993685248;desert_pyramid;-22496;23776;
2791111690993685248;desert_pyramid;-22512;24320;
2791111690993685248;desert_pyramid;-21792;-31472;
2791111690993685248;desert_pyramid;-21888;-19840;
2791111690993685248;desert_pyramid;-21952;13408;
2791111690993685248;desert_pyramid;-21648;14384;
2791111690993685248;desert_pyramid;-21904;16096;
2791111690993685248;desert_pyramid;-22016;16912;
2791111690993685248;desert_pyramid;-21360;-19920;
2791111690993685248;desert_pyramid;-21408;-19456;
2791111690993685248;desert_pyramid;-21472;-15040;
2791111690993685248;desert_pyramid;-21264;13888;
2791111690993685248;desert_pyramid;-21440;14976;
2791111690993685248;desert_pyramid;-21424;23696;
2791111690993685248;desert_pyramid;-20720;-31424;
2791111690993685248;desert_pyramid;-20880;4896;
2791111690993685248;desert_pyramid;-20752;8976;
2791111690993685248;desert_pyramid;-20624;10832;
2791111690993685248;desert_pyramid;-20896;13312;
2791111690993685248;desert_pyramid;-20976;14160;
2791111690993685248;desert_pyramid;-20400;-14752;
2791111690993685248;desert_pyramid;-20432;8976;
2791111690993685248;desert_pyramid;-20336;9296;
2791111690993685248;desert_pyramid;-20240;10848;
2791111690993685248;desert_pyramid;-20464;14192;
2791111690993685248;desert_pyramid;-19728;-2256;
2791111690993685248;desert_pyramid;-19968;-1792;
2791111690993685248;desert_pyramid;-19712;13424;
2791111690993685248;desert_pyramid;-19664;14016;
2791111690993685248;desert_pyramid;-19104;-31440;
2791111690993685248;desert_pyramid;-19376;-16080;
2791111690993685248;desert_pyramid;-19248;-11152;
2791111690993685248;desert_pyramid;-19440;9488;
2791111690993685248;desert_pyramid;-19264;14352;
2791111690993685248;desert_pyramid;-18656;-31568;
2791111690993685248;desert_pyramid;-18592;-24992;
2791111690993685248;desert_pyramid;-18576;-24336;
2791111690993685248;desert_pyramid;-18672;-15168;
2791111690993685248;desert_pyramid;-18656;-14768;
2791111690993685248;desert_pyramid;-18896;-14112;
2791111690993685248;desert_pyramid;-18704;-1536;
2791111690993685248;desert_pyramid;-18688;17472;
2791111690993685248;desert_pyramid;-18608;18464;
2791111690993685248;desert_pyramid;-18112;-11472;
2791111690993685248;desert_pyramid;-18080;-11104;
2791111690993685248;desert_pyramid;-18208;16400;
2791111690993685248;desert_pyramid;-18320;17488;
2791111690993685248;desert_pyramid;-18128;21024;
2791111690993685248;desert_pyramid;-17808;-14736;
2791111690993685248;desert_pyramid;-17600;-14064;
2791111690993685248;desert_pyramid;-17712;-11920;
2791111690993685248;desert_pyramid;-17760;-11424;
2791111690993685248;desert_pyramid;-17696;20640;
2791111690993685248;desert_pyramid;-17072;-24784;
2791111690993685248;desert_pyramid;-17360;-24208;
2791111690993685248;desert_pyramid;-17360;-15104;
2791111690993685248;desert_pyramid;-17376;-14032;
2791111690993685248;desert_pyramid;-17088;-6288;
2791111690993685248;desert_pyramid;-17216;5280;
2791111690993685248;desert_pyramid;-17328;16224;
2791111690993685248;desert_pyramid;-17056;17168;
2791111690993685248;desert_pyramid;-17312;21280;
2791111690993685248;desert_pyramid;-16800;-25392;
2791111690993685248;desert_pyramid;-16880;-16032;
2791111690993685248;desert_pyramid;-16560;-15136;
2791111690993685248;desert_pyramid;-16640;-11040;
2791111690993685248;desert_pyramid;-16752;-10576;
2791111690993685248;desert_pyramid;-16768;-6144;
2791111690993685248;desert_pyramid;-16784;16720;
2791111690993685248;desert_pyramid;-16896;17680;
2791111690993685248;desert_pyramid;-16768;20288;
2791111690993685248;desert_pyramid;-16192;-30112;
2791111690993685248;desert_pyramid;-16096;-29664;
2791111690993685248;desert_pyramid;-16224;-26400;
2791111690993685248;desert_pyramid;-16256;-10912;
2791111690993685248;desert_pyramid;-16192;-7984;
2791111690993685248;desert_pyramid;-15664;-29968;
2791111690993685248;desert_pyramid;-15792;-25584;
2791111690993685248;desert_pyramid;-15520;-17376;
2791111690993685248;desert_pyramid;-15728;-15360;
2791111690993685248;desert_pyramid;-15808;-8384;
2791111690993685248;desert_pyramid;-15616;-7968;
2791111690993685248;desert_pyramid;-15632;24896;
2791111690993685248;desert_pyramid;-15616;29552;
2791111690993685248;desert_pyramid;-15088;-30144;
2791111690993685248;desert_pyramid;-15152;-17216;
2791111690993685248;desert_pyramid;-15200;-16752;
2791111690993685248;desert_pyramid;-15136;-8192;
2791111690993685248;desert_pyramid;-15024;3104;
2791111690993685248;desert_pyramid;-15152;24912;
2791111690993685248;desert_pyramid;-15264;25344;
2791111690993685248;desert_pyramid;-15328;25680;
2791111690993685248;desert_pyramid;-15168;26112;
2791111690993685248;desert_pyramid;-15280;28240;
2791111690993685248;desert_pyramid;-15088;28736;
2791111690993685248;desert_pyramid;-15056;29376;
2791111690993685248;desert_pyramid;-14704;-30416;
2791111690993685248;desert_pyramid;-14656;-30160;
2791111690993685248;desert_pyramid;-14544;-29696;
2791111690993685248;desert_pyramid;-14848;-11216;
2791111690993685248;desert_pyramid;-14656;3584;
2791111690993685248;desert_pyramid;-14608;21152;
2791111690993685248;desert_pyramid;-14608;24832;
2791111690993685248;desert_pyramid;-14576;25920;
2791111690993685248;desert_pyramid;-13984;-30480;
2791111690993685248;desert_pyramid;-14112;-29024;
2791111690993685248;desert_pyramid;-14320;-26272;
2791111690993685248;desert_pyramid;-14128;-15744;
2791111690993685248;desert_pyramid;-14320;3328;
2791111690993685248;desert_pyramid;-14032;3824;
2791111690993685248;desert_pyramid;-14160;6816;
2791111690993685248;desert_pyramid;-14304;7232;
2791111690993685248;desert_pyramid;-14048;20688;
2791111690993685248;desert_pyramid;-13504;-30112;
2791111690993685248;desert_pyramid;-13568;-29664;
2791111690993685248;desert_pyramid;-13504;4240;
2791111690993685248;desert_pyramid;-13664;20560;
2791111690993685248;desert_pyramid;-13760;31824;
2791111690993685248;desert_pyramid;-12992;-20400;
2791111690993685248;desert_pyramid;-13296;-12960;
2791111690993685248;desert_pyramid;-13152;-384;
2791111690993685248;desert_pyramid;-12976;3808;
2791111690993685248;desert_pyramid;-12624;-28592;
2791111690993685248;desert_pyramid;-12496;-19648;
2791111690993685248;desert_pyramid;-12480;-18848;
2791111690993685248;desert_pyramid;-12800;-18224;
2791111690993685248;desert_pyramid;-12784;-17168;
2791111690993685248;desert_pyramid;-12688;848;
2791111690993685248;desert_pyramid;-12784;18560;
2791111690993685248;desert_pyramid;-12496;19296;
2791111690993685248;desert_pyramid;-12768;20624;
2791111690993685248;desert_pyramid;-12112;-23856;
2791111690993685248;desert_pyramid;-12160;-19280;
2791111690993685248;desert_pyramid;-12240;-18832;
2791111690993685248;desert_pyramid;-12128;-18416;
2791111690993685248;desert_pyramid;-12192;160;
2791111690993685248;desert_pyramid;-12288;18240;
2791111690993685248;desert_pyramid;-12048;18768;
2791111690993685248;desert_pyramid;-12112;26928;
2791111690993685248;desert_pyramid;-12048;28000;
2791111690993685248;desert_pyramid;-11664;-23760;
2791111690993685248;desert_pyramid;-11696;-23440;
2791111690993685248;desert_pyramid;-11568;-20736;
2791111690993685248;desert_pyramid;-11648;-19680;
2791111690993685248;desert_pyramid;-11664;-19152;
2791111690993685248;desert_pyramid;-11408;-17312;
2791111690993685248;desert_pyramid;-11712;18736;
2791111690993685248;desert_pyramid;-11520;19488;
2791111690993685248;desert_pyramid;-11440;27344;
2791111690993685248;desert_pyramid;-10992;-31952;
2791111690993685248;desert_pyramid;-11184;-23808;
2791111690993685248;desert_pyramid;-10976;-22736;
2791111690993685248;desert_pyramid;-11168;-20736;
2791111690993685248;desert_pyramid;-11072;-20256;
2791111690993685248;desert_pyramid;-11136;-17712;
2791111690993685248;desert_pyramid;-10640;-31936;
2791111690993685248;desert_pyramid;-10416;-24256;
2791111690993685248;desert_pyramid;-10416;-24048;
2791111690993685248;desert_pyramid;-10496;-22256;
2791111690993685248;desert_pyramid;-10464;-19104;
